iter	RMSE
0	0.02440762909
1	0.02429545822
2	0.0241520634
3	0.02404249363
4	0.02393591761
5	0.02384848504
6	0.023720259
7	0.02360625687
8	0.02354718445
9	0.02346106746
10	0.02336307465
11	0.02329931196
12	0.02323808218
13	0.02310881129
14	0.02302134274
15	0.02296243493
16	0.02290245372
17	0.02279649582
18	0.02273061116
19	0.02265847121
20	0.02258835556
21	0.02253547506
22	0.02245102504
23	0.02238985787
24	0.02231149465
25	0.02224627624
26	0.02218127929
27	0.0221069381
28	0.02206245795
29	0.02197727973
30	0.02190914239
31	0.02186260237
32	0.02178979437
33	0.02171465803
34	0.02166696122
35	0.02161361277
36	0.0215463334
37	0.02144213432
38	0.02140026056
39	0.02131677132
40	0.02126958681
41	0.02121890574
42	0.02113061519
43	0.02107075941
44	0.02102134671
45	0.02094589141
46	0.02086625768
47	0.02079734415
48	0.02075761989
49	0.02070343791
50	0.02063437104
51	0.02058014492
52	0.02054375015
53	0.02051176355
54	0.0204390966
55	0.02040496325
56	0.02036587408
57	0.02033510158
58	0.02026610455
59	0.02021609899
60	0.02015110752
61	0.0201115127
62	0.02006717658
63	0.02001494836
64	0.01998362048
65	0.01994544002
66	0.01989377926
67	0.01984856104
68	0.01980155927
69	0.01974729655
70	0.01969345985
71	0.01965679196
72	0.01960632414
73	0.01955349699
74	0.01950558593
75	0.01944517452
76	0.01941609305
77	0.01935184057
78	0.01929633373
79	0.01924279095
80	0.01919375762
81	0.01915646926
82	0.01911166704
83	0.0190698375
84	0.01904200404
85	0.01900451626
86	0.0189659392
87	0.01890289077
88	0.01884325748
89	0.01881009564
90	0.01876970611
91	0.01873771137
92	0.01870860714
93	0.01868072371
94	0.01864621462
95	0.01861066987
96	0.01857094653
97	0.01852619192
98	0.01849600994
99	0.01846423642
100	0.01842675033
101	0.01837994855
102	0.01834161736
103	0.01829564276
104	0.01824246667
105	0.01821191932
106	0.01815972126
107	0.01812012742
108	0.01808389137
109	0.01803143064
110	0.01797489326
111	0.01793065645
112	0.01788371435
113	0.01784058008
114	0.01778642164
115	0.01774503685
116	0.01771785727
117	0.01766799691
118	0.01762687413
119	0.01759187935
120	0.0175477867
121	0.01752240018
122	0.01748662597
123	0.01746151893
124	0.01741574634
125	0.01738685673
126	0.01735843198
127	0.0173269998
128	0.01729832723
129	0.01727220361
130	0.01723185314
131	0.01720038963
132	0.01716684129
133	0.01712908968
134	0.01709352829
135	0.01706155992
136	0.0170384608
137	0.01700047813
138	0.01695475977
139	0.01691945132
140	0.01688583206
141	0.01685140562
142	0.01679162417
143	0.01675565026
144	0.01672765986
145	0.01669611892
146	0.01666979802
147	0.01663849136
148	0.01660741567
149	0.01656650824
150	0.01651908471
151	0.01647353601
152	0.0164340792
153	0.01640426742
154	0.01637389283
155	0.01634456791
156	0.01630185531
157	0.01627826674
158	0.01625447457
159	0.01623240261
160	0.016200485
161	0.01616538943
162	0.01613092402
163	0.01609004651
164	0.01605871363
165	0.01601993835
166	0.01599022865
167	0.01596530434
168	0.0159364918
169	0.01591257872
170	0.01588916671
171	0.01586452218
172	0.01582719437
173	0.01579518461
174	0.01575477541
175	0.01573360172
176	0.01570411154
177	0.01566811285
178	0.01563653519
179	0.0156153183
180	0.01557677703
181	0.01556058101
182	0.01553228117
183	0.01550104889
184	0.01545792532
185	0.01541606534
186	0.01538858464
187	0.01536199624
188	0.01533520653
189	0.01532033846
190	0.01529878417
191	0.01527494576
192	0.0152492633
193	0.0152225706
194	0.01519385374
195	0.01514797277
196	0.01512737359
197	0.01510515881
198	0.01508946327
199	0.01504738126
200	0.01502564588
201	0.01499943366
202	0.01496965138
203	0.01493125791
204	0.01490519602
205	0.0148758348
206	0.01484837894
207	0.01481807001
208	0.01478183257
209	0.01474796148
210	0.01472626597
211	0.01469357206
212	0.01467647486
213	0.01465868336
214	0.01464659978
215	0.01461771922
216	0.01458254028
217	0.01456674931
218	0.01453337664
219	0.01450883046
220	0.01447825505
221	0.01445423135
222	0.01442967516
223	0.01439927599
224	0.0143662912
225	0.01433614846
226	0.01431024531
227	0.014284147
228	0.01425429647
229	0.01422579613
230	0.01420646048
231	0.01418142866
232	0.01416525058
233	0.01413578429
234	0.01411691533
235	0.01408904476
236	0.01406542296
237	0.01403621599
238	0.01399997328
239	0.01397173653
240	0.01394088899
241	0.01390666569
242	0.01387823392
243	0.01385180064
244	0.01383070678
245	0.01379964841
246	0.01377448905
247	0.01374395707
248	0.01371522281
249	0.01369310677
250	0.01367904769
251	0.01364992989
252	0.01361954204
253	0.01358984203
254	0.01356801095
255	0.01353311466
256	0.01351061744
257	0.0134819325
258	0.01345594772
259	0.01341829185
260	0.01338954857
261	0.01335321606
262	0.01331955274
263	0.01329768483
264	0.01327380273
265	0.01325306844
266	0.01322114789
267	0.01319365442
268	0.01316305217
269	0.01312848031
270	0.01310893253
271	0.01308024311
272	0.01305478978
273	0.01302786532
274	0.01300329969
275	0.01298160179
276	0.01295691991
277	0.01292356502
278	0.01289221883
279	0.01286266609
280	0.01284933806
281	0.01282351425
282	0.01279670459
283	0.01277048946
284	0.01274375059
285	0.01272521931
286	0.01270034114
287	0.01268064249
288	0.0126555754
289	0.01263625235
290	0.01260798708
291	0.01259148488
292	0.01257423258
293	0.0125563773
294	0.01253106693
295	0.01250099781
296	0.0124782373
297	0.01245604121
298	0.01243905738
299	0.0124203406
